     clean_test    budget  domgross
1047         ok  45000000 110000082
1048     notalk  30000000  42070939
1049     notalk  50000000  60470220
1050        men   6000000   2207975
1051        men  60000000  26483452
1052    dubious  80000000 124685242
1053         ok  40000000 111760631
1054         ok   7800000  10130108
1055         ok 170000000 150358296
1056         ok  85000000  31111260
1057     notalk  60000000 106126012
1058    nowomen  20000000  47901582
1059    nowomen 140000000 111110575
1060    nowomen  78000000  66465204
1061     notalk  94000000 377845905
1062         ok 127000000 281553689
1063         ok 110000000 139259759
1064         ok  65000000  26900336
1065    dubious  20000000  81261177
1066         ok   2000000   4601043
1067     notalk  80000000  19480739
1068         ok    750000     41196
1069    dubious  22000000  51970690
1070         ok  10000000  15417771
1071         ok 125000000 214949694
1072        men   4500000  13084595
1073         ok   8000000  45064915
1074         ok   8000000   3076425
1075     notalk  41000000 116724075
1076     notalk  30000000  65005217
1077    dubious  18500000  22498520
1078         ok   9000000    184255
1079     notalk  12500000  21078145
1080     notalk  63000000 213117789
1081         ok   5600000  32543449
1082     notalk  54000000  81676888
1083         ok  30000000  40118420
1084         ok   1500000  21158188
1085         ok  30000000  35266619
1086     notalk  52000000 164606800
1087         ok  30000000 170687518
1088         ok  12000000  37188667
1089        men  50000000   8355815
1090        men 142000000 160942139
1091     notalk  20000000  56398162
1092     notalk  20000000   1190018
1093         ok  13500000  15901849
1094        men  12000000  25885000
1095         ok     30000     77070
1096     notalk  97000000  77730500
1097    nowomen   7000000    254683
1098         ok 100000000 261987880
1099         ok  42000000  41543207
1100     notalk  70000000  33561137
1101    nowomen  65000000 176387405
1102        men   9000000   4777465
1103     notalk  46000000  67263182
1104         ok  80000000 145771527
1105         ok  55000000  93932896
1106         ok   1750000    145540
1107     notalk 140000000 190418803
1108     notalk 102000000 132024714
1109        men  50000000 126293452
1110         ok   5000000 241438208
1111         ok  48000000  95308367
1112     notalk  11000000  46566212
1113         ok  35000000  30307804
1114         ok   7000000   6199600
1115         ok   3000000   5853194
1116     notalk  78000000  92955420
1117     notalk  60000000  43061982
1118         ok  35000000  40119709
1119         ok  84000000 153294164
1120     notalk  70702619 227965690
1121     notalk  32000000  81150692
1122     notalk  47000000  14970038
1123     notalk 139000000 403706375
1124    nowomen  80000000  73215310
1125         ok   4500000    410241
1126         ok  38000000  85846296
1127     notalk  60000000  43254409
1128    dubious 115000000 310676740
1129        men 100000000   4411102
1130         ok  10000000  30306281
1131     notalk  60000000 121468960
1132     notalk  12000000   1779284
1133         ok   8000000  14018296
1134         ok  25000000  41675994
1135         ok  15000000   8378141
1136     notalk  94000000 342548984
1137         ok  25000000  11411644
1138        men  20000000  12987647
1139         ok  48000000 129094024
1140    dubious   4000000   6525762
1141     notalk  65000000 139225854
1142         ok  43000000  24430272
1143    nowomen  21000000  25296447
1144    nowomen  60000000  50586000
1145     notalk 100000000  38120554
1146         ok  15000000  19161999
1147         ok  60000000  93354918
1148         ok  70000000  78120196
1149         ok   4300000  20779666
1150         ok  16000000  16357770
1151     notalk  70000000 141930000
1152     notalk  78000000 170708996
1153        men  41000000  56083966
1154         ok  28000000  74058698
1155     notalk  35000000  13264986
1156        men  30000000  10965209
1157     notalk  90000000  78616689
1158     notalk  90000000  84052762
1159    nowomen  95000000 108638745
1160     notalk  30000000  52990775
1161         ok  25000000  71500556
1162         ok  50000000  54997476
1163    dubious   4500000   1270522
1164         ok  72000000 112950721
1165         ok  80000000  38311134
1166    dubious  35000000  31598308
1167         ok   5500000   6217849
1168         ok  18000000  41300105
1169         ok  87000000 165092266
1170         ok 125000000 317575550
1171         ok   6000000   3067312
1172         ok  10000000    226792
1173    nowomen  40000000   6114237
1174         ok  14000000  13121555
1175         ok  22000000  30059386
1176         ok  10000000  37904175
1177         ok  22000000  14252830
1178        men  48000000  47095453
1179     notalk  25000000  36833473
1180         ok   1500000   7025722
1181     notalk    700000   1140965
1182    nowomen  94000000 131144183
1183         ok  18000000  96493426
1184         ok    250000   4210379
1185    dubious  75000000   5409517
1186         ok   1200000  13876974
1187     notalk 115000000 289423425
1188         ok  53000000  57386369
1189         ok  15000000   7219578
1190         ok   6500000   6173485
1191     notalk  85000000 183417150
1192    dubious  70000000  13596911
1193        men 151500000 198539855
1194         ok  13000000  91038276
1195         ok  40000000  70836296
1196    nowomen  10000000    488872
1197     notalk  50000000 267655011
1198         ok  23000000  27338033
1199         ok  35000000 112692062
1200     notalk   3000000  18492362
1201     notalk  38000000 144512310
1202         ok  22000000  17951431
1203         ok   9000000    454255
1204     notalk 109000000 315544750
1205     notalk  72000000  27796042
1206    nowomen  49000000  43905746
1207         ok  17000000  96522687
1208         ok  30000000 108244774
1209         ok  28000000  52353636
1210         ok  28000000  60400856
1211     notalk  19000000  41867960
1212     notalk  45000000  76261036
1213        men  10000000  20384136
1214     notalk  70000000 100614858
1215         ok  28000000  45172250
1216         ok  43000000  37035515
1217         ok  60000000  32522352
1218     notalk   8000000  15070285
1219         ok  50000000  19452138
1220         ok   6000000  18621249
1221         ok   5000000  21995263
1222     notalk   9000000  16963963
1223         ok  10000000  68353550
1224     notalk  85000000 233632142
1225         ok  10000000   1276984
1226         ok  18000000  17200925
1227         ok  90000000 125305545
1228         ok  42000000 106793915
1229         ok  25000000  71309760
1230        men  45000000  60786269
1231         ok  12500000   4157491
1232        men  14000000  46729374
1233         ok  45000000  27447471
1234         ok  50000000 125548685
1235     notalk  23000000  53302314
1236    nowomen 103000000 187683805
1237     notalk 103300000 101643008
1238        men  20000000  27277055
1239         ok  90000000  73209340
1240     notalk  80000000  39442871
1241         ok  15000000  27441122
1242        men  55000000 166225040
1243     notalk   5000000  25544867
1244         ok  45000000 106807667
1245     notalk  90000000  60874615
1246    nowomen  26000000  45506619
1247         ok  23000000  39235088
1248        men  30000000  43746923
1249    nowomen  80000000  17480890
1250     notalk  30000000 115654751
1251         ok   4500000   3635482
1252    dubious  24000000  32662299
1253    nowomen  25000000  55973336
1254         ok  30000000  76501438
1255         ok   4000000  12178602
1256         ok  40000000  89138076
1257        men   4300000   6946056
1258     notalk  55000000  56932305
1259    nowomen  10000000  30093107
1260         ok   1800000   3050934
1261     notalk  50000000  39778599
1262        men  35000000  61280963
1263         ok 100000000  89296573
1264    dubious  10000000  12008642
1265    dubious 110000000 113330342
1266    nowomen  95000000  50802661
1267        men   9000000   6047856
1268         ok  24000000  57262492
1269     notalk  80000000  34566746
1270         ok  75000000  22751979
1271    nowomen  73243106  94999143
1272     notalk    225000   1032075
1273     notalk  75000000  68473360
1274         ok  90000000 155464351
1275     notalk  65000000 182805123
1276         ok  15000000  33771174
1277         ok  15000000 128067808
1278     notalk  75000000 157299717
1279         ok  13000000  38177966
1280     notalk  40000000  36443442
1281         ok  15000000 130058047
1282        men  12000000 101800948
1283     notalk  30000000 106885658
1284        men  75000000  39251128
1285    dubious  23000000  18653615
1286     notalk  35000000 206040085
1287         ok  13000000  22858926
1288         ok  10000000   5241315
1289     notalk  36000000  68208190
1290         ok   2000000  11540607
1291         ok   1200000   2205627
1292         ok  21000000  17760244
1293         ok  11000000  38230075
1294         ok  13000000   6276869
1295    dubious  10000000  30651422
1296         ok  10000000  10571408
1297         ok   8500000  14943582
1298         ok  65000000  55691208
1299     notalk  65000000  37030102
1300     notalk  27000000   4485485
1301        men  50000000  35188640
1302     notalk  45000000  71423726
1303         ok  24000000  28871190
1304         ok   6500000  16875273
1305         ok   3000000   3076820
1306     notalk  37000000  22450975
1307         ok  24000000  16304786
1308    nowomen  68000000  29762011
1309         ok  42000000 116089678
1310     notalk  10000000  10827813
1311     notalk  50000000  81526121
1312     notalk  30000000  85744662
1313     notalk  12000000   2062406
1314         ok  70000000 101068340
1315    dubious  21000000  52037603
1316         ok 115000000 474544677
1317     notalk 105000000 140015224
1318        men 145000000 171091819
1319    dubious 125000000  32698899
1320         ok    600000 140539099
1321    nowomen   7000000     30471
1322     notalk  60000000 136801374
1323         ok  80000000  91188905
1324    nowomen  50000000  23159305
1325         ok  65000000 171479930
1326     notalk  80000000 155385488
1327    dubious  40000000 293506292
1328    dubious  40000000  81292135
1329     notalk  20000000  10570375
1330         ok  20000000   6201757
1331     notalk  90000000 245852179
1332    dubious  75000000  14010690
1333        men 175000000 113805681
1334        men  30000000  11578022
1335     notalk  13000000  16757163
1336         ok  45000000 162798565
1337        men  10000000   6719864
1338     notalk 140000000 201578182
1339         ok  53000000  22852487
1340     notalk  45000000  70141876
1341     notalk  25000000  32404188
1342     notalk   1500000   2380606
1343     notalk  27000000  14435076
1344         ok  80000000 140464664
1345     notalk  15000000  17507368
1346         ok  25000000  30082699
1347     notalk  85000000 111549836
1348         ok  26000000  65705772
1349     notalk  18500000  10680275
1350    dubious   1300000   1647780
1351        men   2000000   1152411
1352    dubious 125000000 136314294
1353         ok  17000000  55041738
1354         ok   3000000   2746453
1355         ok  30000000  60110313
1356         ok   6000000   4595000
1357     notalk   1350000   3897569
1358         ok  80000000  69117629
1359     notalk  60000000  32983332
1360    dubious  90000000 120620254
1361        men  48000000  37562568
1362        men     68000   3221152
1363         ok  60000000  46850558
1364         ok  65000000  39017984
1365         ok  40000000  22772500
1366     notalk  12000000  22921898
1367     notalk   1750000   7267324
1368         ok  35000000 141186864
1369     notalk  10000000  17105219
1370    nowomen   1000000     21210
1371    nowomen  65000000 216335085
1372         ok  26000000 100317794
1373     notalk  80000000  74339294
1374         ok   6000000  11911200
1375         ok   5000000   5502773
1376     notalk  40000000  55143823
1377         ok   2000000   6719300
1378     notalk  73000000  37068294
1379         ok  70000000  70187658
1380         ok  50000000  91137662
1381         ok  60000000  23385416
1382     notalk  15000000  17498804
1383    dubious  15000000  40283321
1384     notalk  35000000  56968169
1385     notalk  65000000  93828745
1386     notalk  50000000  44705766
1387     notalk  60000000 101413188
1388        men  20000000   1903434
1389     notalk  52000000  36400491
1390     notalk  60000000 125618201
1391         ok  22000000 176484651
1392         ok  14000000  38116707
1393    nowomen  20000000  20268825
1394        men   9000000   1053788
1395        men  20000000  29795299
1396         ok  65000000 115821495
1397         ok  28000000   8165213
1398     notalk   3000000  24646936
1399     notalk  85000000 172956409
1400         ok  60000000  47795018
1401         ok  53000000  58403409
1402         ok  50000000 148478011
1403        men  18000000  53883989
1404        men 125000000 107325195
1405    dubious  15000000  26410771
1406         ok  32000000   3588602
1407         ok    250000  12006514
1408         ok   2900000  85000000
1409         ok   2000000    537948
1410     notalk  80000000 101117573
1411        men  80000000  76118990
1412         ok  90000000 100920329
1413         ok   5000000  14843425
1414         ok  60000000  26673242
1415         ok  40000000  42071069
1416        men  80000000  92993801
1417         ok  50000000  48169156
1418     notalk  36000000  12532777
1419         ok  55000000 105263257
1420    nowomen  10000000 138433435
1421         ok  15000000  28084357
1422         ok  70000000  99112101
1423         ok  17000000  72250091
1424     notalk     25000   2883661
1425         ok  12000000  39673162
1426        men  27000000  60527873
1427     notalk  35000000  64604977
1428     notalk  45000000 181410615
1429     notalk  90000000 250690539
1430         ok  20000000   2374107
1431         ok  30000000  35927406
1432        men  35000000  43894863
1433        men  46000000 126813153
1434     notalk   1000000    582024
1435         ok  24000000 101363301
1436         ok  20000000  35450113
1437         ok  35000000   2221994
1438         ok  40000000  54979992
1439         ok 100000000  54768952
1440         ok  57000000  61007424
1441     notalk  95000000  63570862
1442     notalk  50000000  48265581
1443    dubious  75000000 229086679
1444    dubious  50000000  41263140
1445     notalk  80000000  17650704
1446         ok 200000000 658672302
1447         ok  90000000  47546796
1448    dubious   3400000     12636
1449         ok   4500000   3802260
1450    nowomen  65000000  70645997
1451     notalk  55000000  21226204
1452        men  57000000  51364680
1453         ok   5900000  22231658
1454     notalk  50000000  25426861
1455         ok  20000000  26792700
1456         ok   7000000  24567751
1457         ok   3000000    295493
1458     notalk  20000000  25728961
1459     notalk   2000000   1577287
1460         ok  13000000  26570048
1461         ok  75000000 306169255
1462     notalk  60000000  60592389
1463     notalk  25000000  25023424
1464         ok    250000    212285
1465         ok  80000000  37771017
1466     notalk  80000000 180981886
1467    dubious  14500000  46338728
1468         ok  15000000 103046663
1469         ok   4500000  13417292
1470         ok   9000000  36049108
1471     notalk  80000000  90463534
1472     notalk  18000000  26936265
1473         ok  46000000  92027888
1474    dubious  50000000  33109743
1475         ok   2500000  25857416
1476     notalk  47000000  60240295
1477         ok  15000000  24769466
1478         ok  35000000  78716374
1479     notalk  55000000  18582965
1480         ok  30000000 105489203
1481     notalk  45000000  20404841
1482     notalk 100000000 100138851
1483     notalk  65000000  33447612
1484         ok  42000000  41267469
1485     notalk  75000000 134069511
1486        men   3100000  16501785
1487         ok  88000000 241888385
1488         ok   1000000   1287480
1489         ok    300000   1652472
1490         ok  65000000 172070496
1491     notalk  50000000  30306268
1492     notalk 100000000 184031112
1493    nowomen   2500000   5274005
1494        men  72000000  75545647
1495        men  52000000  42438300
1496         ok  55000000 100328194
1497         ok  13700000  56598476
1498    nowomen  50000000  81022333
1499    dubious  20000000  32051917
1500     notalk  90000000 100012499
1501     notalk   4000000   4301000
1502         ok  20000000  17468887
1503         ok  65000000 100458310
1504     notalk   6100000   2108367
1505     notalk  20000000  70433227
1506         ok  50000000  67823573
1507         ok  55000000 141579773
1508         ok  28000000  38372662
1509         ok  58000000  53458319
1510         ok  33000000  17142080
1511     notalk  30000000 100125643
1512         ok  16500000  42993774
1513         ok  40000000  20350754
1514    dubious  35000000  60054449
1515         ok  25000000   4064333
1516         ok  62000000  60022813
1517         ok  22000000  71516617
1518         ok    250000   2210408
1519         ok  22000000  50621733
1520     notalk  32000000  18552460
1521     notalk   6000000  23341568
1522     notalk  30000000 191780865
1523     notalk  29000000  57141459
1524    nowomen 175000000  88246220
1525         ok    800000   4198137
1526        men  12000000  72217396
1527    nowomen  50000000  42586861
1528     notalk     27000   3073428
1529         ok  14000000  13024170
1530        men  16000000 127175374
1531         ok  18000000   5828466
1532     notalk  55000000 329694499
1533         ok  30000000  66502573
1534         ok  15000000  50003303
1535        men  30000000  51041856
1536     notalk  10000000    126247
1537         ok  60000000  29136626
1538         ok   8000000 107928762
1539         ok  30000000 121248145
1540     notalk  55000000  71565669
1541         ok  35000000  33423000
1542         ok  45000000  92115211
1543     notalk  40000000   2816518
1544     notalk  79300000 422780140
1545     notalk  18000000 119920129
1546     notalk  22000000 144833357
1547    nowomen  40000000  31835600
1548    nowomen  25000000  28241469
1549     notalk  45000000  57362581
1550     notalk  28000000  44853581
1551     notalk 100000000 146282411
1552     notalk  65000000  84049211
1553     notalk  14000000  68856263
1554         ok   6900000   7950889
1555    nowomen  25000000  10731997
1556        men  14600000  70906973
1557         ok  28000000  39360491
1558         ok  63000000 395708305
1559         ok  25000000 219195051
1560         ok    300000   2528664
1561         ok  25000000  96067179
1562    dubious  42000000  20844907
1563         ok  34000000  32014993
1564        men  44000000 183875760
1565    nowomen  24000000    669276
1566    nowomen  15000000  22954968
1567         ok  25000000  56505065
1568     notalk  33000000 141340178
1569         ok  40000000 107533925
1570    nowomen  28000000 217350219
1571    nowomen  55000000  54927174
1572        men  11000000  11502976
1573    nowomen  80000000 162833635
1574         ok   7000000  14231669
1575         ok  55000000  58422650
1576    nowomen      7000   2040920
1577    nowomen  12500000  10725228
1578     notalk  42000000  19487173
1579     notalk  20000000 173585516
1580    dubious  35000000  48169910
1581     notalk  11000000  52929168
1582    nowomen   1200000   2832029
1583        men   4000000  62546695
1584     notalk  10000000  50752337
1585     notalk  12000000  27281507
1586         ok   8000000  21706101
1587     notalk  20000000 121697323
1588         ok  20000000 218951625
1589     notalk  20000000  37537675
1590        men  70000000 119654823
1591         ok  65000000  17218916
1592    dubious  50000000 165493908
1593         ok     23000   1227508
1594        men  27000000  74888996
1595         ok  25000000  78656813
1596    dubious 100000000 204859496
1597         ok  30000000 113502246
1598     notalk  23000000  86930411
1599         ok  20000000 130726716
1600     notalk  14000000  34729091
1601     notalk  40000000  87666629
1602         ok  13000000  26904572
1603    nowomen   7000000   4372561
1604    dubious  70000000 117323878
1605         ok  20000000  53976987
1606         ok  26000000  61308153
1607        men  22000000 217631306
1608        men  25000000  46743809
1609        men  15000000 285761243
1610         ok   7000000   5017971
1611        men  35000000  28317513
1612         ok  14000000 178406268
1613     notalk  30000000 120709866
1614     notalk 125000000  58877969
1615         ok  10000000  16667084
1616         ok  40000000 118450002
1617     notalk  35000000 251188924
1618        men  10000000  40485039
1619     notalk  16400000  95860116
1620         ok   9000000  10161099
1621    nowomen  48000000 197171806
1622        men  42000000  34667015
1623     notalk  11000000  49793054
1624     notalk  10000000  30050028
1625        men   1200000  24741667
1626     notalk  30000000  52210049
1627         ok  70000000  54243125
1628         ok  18000000   7190505
1629     notalk   5000000   6157157
1630     notalk   7000000  20257000
1631     notalk   8000000     19585
1632         ok  15000000  73326666
1633     notalk   1500000  11806119
1634         ok   9000000  33244684
1635         ok  14000000  34700000
1636         ok  28000000  81350242
1637        men  30000000  38413606
1638         ok  16000000  13854000
1639         ok   6000000  12793213
1640         ok   9500000  14114000
1641     notalk  25000000 172825435
1642         ok  32000000  60328558
1643         ok  12300000  48092846
1644        men   7000000   8373585
1645    nowomen   4000000  13000000
1646        men  15000000 111936388
1647     notalk  70000000 154112492
1648     notalk  13000000  44726644
1649     notalk  20000000 153665036
1650    dubious   3500000   5923044
1651    dubious  14000000 156645693
1652     notalk  13000000 123922370
1653         ok   1000000  14564000
1654     notalk  15000000  65192350
1655    nowomen  18000000  59735548
1656     notalk  16000000  14792779
1657     notalk 120000000  54764805
1658    dubious  22700000  38119483
1659         ok  17000000  11227824
1660    dubious  25000000  43984000
1661     notalk   8500000  32222567
1662        men  15000000  30857000
1663         ok  17000000  85160248
1664    dubious   5000000 174803506
1665         ok  16000000   5900000
1666    dubious  30000000  16295774
1667     notalk  30000000  38747385
1668         ok  18000000  41382841
1669    nowomen   6000000 137963328
1670    nowomen   8000000  52287414
1671         ok  15000000   1953732
1672        men  15000000 179800601
1673     notalk  19000000 210609762
1674         ok  15000000   9929135
1675     notalk  10000000  35073978
1676    nowomen  18000000      #N/A
1677    nowomen  20000000  18400000
1678    dubious  25000000  15502112
1679        men    400000      #N/A
1680         ok  17900000   6905861
1681         ok  27000000  10618813
1682         ok  15000000  93589701
1683        men  35000000  63075011
1684         ok  18000000  51973029
1685    nowomen  15000000 234760478
1686        men  10000000   8801940
1687    dubious  18000000  26400000
1688    dubious  45000000  27447471
1689         ok   2600000  32980880
1690     notalk  30000000 238632124
1691     notalk  11000000 148168459
1692    nowomen  28000000 179880271
1693    dubious   4500000  81198894
1694        men   1500000   2300000
1695     notalk   8000000  62599495
1696     notalk  18000000  76471046
1697         ok  40000000 176591618
1698        men   6400000  38019031
1699         ok   7000000  90463574
1700    nowomen  32500000 309205079
1701         ok  39000000  59950623
1702        men   5952000   2120439
1703     notalk  12000000  74433837
1704     notalk  28000000  32656328
1705         ok  12500000   7000000
1706     notalk  20000000  38264085
1707     notalk   5000000  12592907
1708    dubious  10500000 435110554
1709        men   4500000  27092880
1710    nowomen  14000000  47212904
1711    dubious   2250000  36690067
1712         ok  10700000  74706019
1713        men   4000000 109492484
1714    dubious  12000000  79912963
1715         ok  20500000  69701637
1716     notalk  15000000 177200000
1717    nowomen  17000000  26918576
1718    nowomen  12000000  11487676
1719    nowomen   6000000  25244700
1720     notalk   1250000  21722776
1721         ok   2500000  25533818
1722     notalk   9300000  19571091
1723     notalk  11000000  31672000
1724    nowomen  20000000 248159971
1725     notalk    375000   2400000
1726     notalk  12000000  37400000
1727    dubious   3500000  83453539
1728         ok  20000000   2000000
1729         ok  18000000  22455510
1730    dubious  35000000  27107960
1731        men  17000000  65002019
1732    nowomen  44000000   3484331
1733         ok  15000000  69847348
1734     notalk  18000000  23380203
1735        men   5100000   9709597
1736    nowomen  23000000 290271960
1737    dubious  54000000 108185706
1738     notalk  27000000  57229890
1739         ok  18000000  29511112
1740        men  19000000  44017374
1741         ok   9000000  80930630
1742    nowomen  31500000  78800000
1743     notalk  31000000  70300000
1744     notalk  35000000  82258456
1745         ok  18500000  65233369
1746        men   3000000 141600000
1747    nowomen  28000000  58990765
1748         ok   3000000   3446749
1749         ok   6000000 181813770
1750    dubious  15000000  58269151
1751    nowomen   1750000     93051
1752     notalk  55000000 134218018
1753     notalk  15000000  50000000
1754     notalk  26000000  50800000
1755         ok   4000000  38251425
1756     notalk  20000000 166000000
1757    nowomen    100000   7000000
1758     notalk   3400000  31063038
1759         ok   6000000     65108
1760     notalk  11000000 460998007
1761     notalk  30000000  20040895
1762         ok   3000000  13200000
1763        men   7000000  25000000
1764         ok   3800000  23689877
1765     notalk   1000000 117235147
1766     notalk   4400000  36145695
1767         ok  10000000  24397469
1768     notalk   1000000  28262574
1769     notalk  11000000  20000000
1770     notalk  12000000 260000000
1771        men    400000   3427696
1772        men   4400000 108981275
1773    dubious   1200000 139876417
1774         ok   9000000  16235738
1775     notalk   2600000 119500000
1776     notalk   1600000   4420000
1777         ok  13000000  57300000
1778     notalk    140000  26572439
1779     notalk    140000  26572439
1780        men   2800000  86300000
1781        men    777000 115000000
1782     notalk  15700000  15700000
1783     notalk   2000000  18344729
1784         ok  12000000 204868002
1785     notalk   5500000 159616327
1786     notalk   4000000      #N/A
1787         ok     12000    413802
1788     notalk   7000000 134966411
1789     notalk   2500000  12300000
1790     notalk  53012938  70327868
1791     notalk  25000000  10324441
1792     notalk   2200000  41158757
1793        men   3000000   4000000
1794         ok   1000000   9000000
